County,City,Address,Lesson_Type,Lesson_Name,Lesson_Category,Latitude,Longitude
전라북도,고창군,흥덕면 문화1길 13,학원,제일학원,입시.검정 및 보습,35.5183388,126.700318
전라북도,고창군,고창읍 월곡공원1길 26,학원,조이아카데미학원,입시.검정 및 보습,35.4370559,126.7126979
전라북도,고창군,고창읍 월곡14길 14,학원,지혜의숲 고창학원,입시.검정 및 보습,35.4372221,126.7124328
전라북도,고창군,고창읍 모양성로 47,교습소,징검다리수학교습소,입시.검정 및 보습,35.4357577,126.7012267
전라북도,고창군,고창읍 중거리당산로 106,교습소,캠퍼 잉글리쉬 교습소,입시.검정 및 보습,35.4292425,126.6987317
전라북도,고창군,고창읍 중앙로 276,학원,킴벨색소폰학원,기예(대),35.4348035,126.7057617
전라북도,고창군,고창읍 중앙로 260,교습소,킴스영어교습소,국제화,35.4348152,126.7039149
전라북도,고창군,고창읍 월곡1길 22,학원,통문장영어수학학원,입시.검정 및 보습,35.4368141,126.7095795
전라북도,고창군,고창읍 중앙로 317,학원,파닉스학원,입시.검정 및 보습,35.4350685,126.7102986
전라북도,고창군,고창읍 성산2길 39,학원,프라임학원,입시.검정 및 보습,35.4360127,126.6998595
전라북도,고창군,고창읍 중앙로 270,학원,하나보습학원,입시.검정 및 보습,35.434803,126.7050939
전라북도,고창군,고창읍 월곡로 42,학원,하이픽학원,입시.검정 및 보습,35.4354854,126.7112274
전라북도,고창군,고창읍 중앙로 186,학원,학성학원,입시.검정 및 보습,35.4350922,126.695841
전라북도,고창군,고창읍 교흥길 17,학원,해솔보습학원,입시.검정 및 보습,35.4342321,126.7047561
전라북도,고창군,고창읍 교흥길 22,학원,해피클래스학원,입시.검정 및 보습,35.4346413,126.7050666
전라북도,고창군,고창읍 월곡1길 20,학원,혜성학원,입시.검정 및 보습,35.436659,126.7095618
전라북도,고창군,고창읍 남구4길 27,학원,홍병숙뮤직아카데미학원,예능(대),35.4288349,126.6971539
전라북도,군산시,대명4길 9,교습소,1수학교습소,입시.검정 및 보습,35.9815168,126.7217971
전라북도,군산시,미장서로 54,학원,DMW입시학원,입시.검정 및 보습,35.9642738,126.7217982
전라북도,군산시,용둔길 12,학원,ECL영어수학전문학원,입시.검정 및 보습,35.9414826,126.6926006
전라북도,군산시,신지길 15,학원,EMS학원,입시.검정 및 보습,35.9585216,126.7058206
전라북도,군산시,백토로 128,교습소,ERC영어독서클럽영어교습소,입시.검정 및 보습,35.9676974,126.7055259
전라북도,군산시,궁포2로 75,교습소,F필아트미술교습소,예능(대),35.9804069,126.7459009
전라북도,군산시,신지길 18,학원,GGE영어전문학원,국제화,35.958179,126.7060476
전라북도,군산시,지곡로 52,학원,HABiTUS영어학원,입시.검정 및 보습,35.9550359,126.7101027
전라북도,군산시,백릉로 145,학원,HYU일타수학Ⅱ학원,입시.검정 및 보습,35.9759001,126.7420883
전라북도,군산시,수송로 212,학원,HYU일타수학학원,입시.검정 및 보습,35.9637869,126.7188733
전라북도,군산시,설림4길 34,학원,ITOPSCHOOL학원,종합(대),35.974013,126.6819094
전라북도,군산시,양안로 120,학원,JC피아노스튜디오학원,예능(대),35.9734312,126.7455326
전라북도,군산시,진포로 40,학원,KCIS하포드영수학원,종합(대),35.9632129,126.7301269
전라북도,군산시,신지길 15,학원,KEI영어전문학원,입시.검정 및 보습,35.9585216,126.7058206
전라북도,군산시,미룡로 54,학원,Kids&Mom무용스쿨학원,예능(대),35.9443875,126.6909405
전라북도,군산시,대명4길 9,학원,KMH커피학원,직업기술,35.9815168,126.7217971
전라북도,군산시,궁포1로 48,학원,MOMA미술학원,예능(대),35.9769409,126.7428931
전라북도,군산시,수송로 197,학원,MOM수학전문학원,입시.검정 및 보습,35.9642374,126.7173898
전라북도,군산시,수송로 131,학원,Park's수·텝·토영어전문학원,입시.검정 및 보습,35.9642356,126.7099245
전라북도,군산시,수송로 279,학원,SEM+학원,입시.검정 및 보습,35.9643473,126.7262331
전라북도,군산시,백토로 140,학원,STA영어전문학원,국제화,35.9666875,126.7054889
전라북도,군산시,축동2길 40-2,학원,STUDY TRAINING  스터디트레이닝학원,입시.검정 및 보습,35.9681381,126.7141758
전라북도,군산시,대학로 269,학원,TOP드럼전문학원,예능(대),35.9690359,126.6973777
전라북도,군산시,수송동로 36,학원,Vivaldi뮤직스토리학원,예능(대),35.9632925,126.7204597
전라북도,군산시,대학로 294,학원,Y.J검정고시학원,입시.검정 및 보습,35.9673622,126.6955693
전라북도,군산시,부골2길 35-2,학원,YBMECC디오션어학원,국제화,35.9746162,126.7416738
전라북도,군산시,동수송안길 35,학원,YBMECC어학원,국제화,35.9671827,126.7167231
전라북도,군산시,미장14길 33,학원,YBM영어·수학학원,입시.검정 및 보습,35.9625376,126.7356842
전라북도,군산시,미룡로 22,학원,YBM잉글루영어영재어학원,국제화,35.9426995,126.6880734
전라북도,군산시,계산로 87-6,학원,YM플러스학원,입시.검정 및 보습,35.9523638,126.7142535
전라북도,군산시,궁포3로 14,학원,YU영어수학학원,입시.검정 및 보습,35.9768951,126.7417482
전라북도,군산시,지곡로 74-7,학원,YU와이유수학YU와이유영어학원,입시.검정 및 보습,35.9526166,126.7100186
전라북도,군산시,궁포3로 14,학원,YU와이유영어전문학원,국제화,35.9768951,126.7417482
전라북도,군산시,하나운로 48,학원,가산한문서예학원,기타(대),35.9630221,126.7015557
전라북도,군산시,궁포1로 24-3,교습소,가온바이올린음악교습소,예능(대),35.9768524,126.7405907
전라북도,군산시,동수송안길 55,학원,가우디미술학원,예능(대),35.9689446,126.7166635
전라북도,군산시,수송로 251,학원,가우스영수학원,입시.검정 및 보습,35.9642998,126.7231598
전라북도,군산시,수송남로 22,학원,강남탑아카데미학원,입시.검정 및 보습,35.9613051,126.7145594
전라북도,군산시,수송로 135,학원,강남프라임학원,입시.검정 및 보습,35.9642275,126.7103116
전라북도,군산시,중앙로 149,학원,강석구고시학원,인문사회(대),35.9857787,126.7137536
전라북도,군산시,동진포길 13-1,학원,강선영음악학원,예능(대),35.9732103,126.725135
전라북도,군산시,월명로 466,학원,거성컴퓨터학원,종합(대),35.9835769,126.7098491
전라북도,군산시,수송로 215,학원,고려e스쿨군산캠퍼스학원,입시.검정 및 보습,35.9642699,126.7190532
전라북도,군산시,월명로 272,학원,고려대국제어학원,종합(대),35.9681654,126.7160922
전라북도,군산시,미원로 125-3,학원,고쌤학원,입시.검정 및 보습,35.9802425,126.7182134
전라북도,군산시,팔마로 186,학원,고운선율피아노학원,예능(대),35.9734625,126.7215827
전라북도,군산시,궁포안2길 27,학원,고은소리음악학원,예능(대),35.9767257,126.7447423
전라북도,군산시,수송로 137,학원,고필영어전문학원,입시.검정 및 보습,35.964236,126.7105019
전라북도,군산시,진포로 67,학원,골드영어학원,국제화,35.9656255,126.7294414
전라북도,군산시,수송로 208,학원,공마수전문학원,입시.검정 및 보습,35.963757,126.7182667
전라북도,군산시,회현면 대위로 421,학원,곽하진피아노음악학원,예능(대),35.9129513,126.7558941
전라북도,군산시,궁포3로 12,학원,국어의훈련조촌학원,입시.검정 및 보습,35.9766096,126.7417354
전라북도,군산시,법원로 55,학원,군산경매학원,직업기술,35.9671975,126.7401885
전라북도,군산시,궁포3로 5,학원,군산디오션점 작심독서실,독서실,35.97607,126.7410803
전라북도,군산시,대학로 195,학원,군산명성요리제과제빵학원,직업기술,35.9745288,126.7020339
전라북도,군산시,대학로 316,학원,군산성모간호전문학원,직업기술,35.9656572,126.6943734
전라북도,군산시,검다메안길 6-8,학원,군산아프리카커피학원,직업기술,35.9671651,126.7397433
전라북도,군산시,서흥2길 86,학원,군산영어학원,종합(대),35.9719281,126.7151403
전라북도,군산시,하나운3길 20,학원,군산용접산업설비학원,직업기술,35.9634607,126.6958144
전라북도,군산시,수송로 214,학원,군산위니드수학지앤비영어학원,종합(대),35.9637907,126.7190453
전라북도,군산시,번영로 325,학원,군산종합중장비학원,직업기술,35.9640919,126.7525891
전라북도,군산시,축동안3길 24,학원,군산중국어전문학원,국제화,35.9681399,126.7147724
전라북도,군산시,축동로 10,학원,군산통기타사랑학원,예능(대),35.9600876,126.7116947
전라북도,군산시,문화로 96,학원,굿디자인미술학원,예능(대),35.9694817,126.7162833
전라북도,군산시,계산로 51,학원,그로잉영어학원,국제화,35.9521364,126.7098111
전라북도,군산시,패총2길 31,학원,그리다미술학원,예능(대),35.9952796,126.7512949
전라북도,군산시,우체통거리1길 3-1,학원,그린스미스플라워스쿨학원,기예(대),35.985273,126.7112247
전라북도,군산시,궁포안2길 27,학원,그린아트스콜레디오션미술학원,예능(대),35.9767257,126.7447423
전라북도,군산시,미룡로 22,학원,그린아트스콜레미룡미술학원,예능(대),35.9426995,126.6880734
전라북도,군산시,백토로 142,학원,그린아트스콜레미술학원,예능(대),35.9664687,126.7054741
전라북도,군산시,미장안길 50-1,학원,그린아트스콜레미장미술학원,예능(대),35.9686808,126.7268931
전라북도,군산시,설림2길 34-3,교습소,그림나무기타교습소,예능(대),35.9754738,126.6835857
전라북도,군산시,경촌2길 26-3,학원,그림숲미술학원,예능(대),35.9763505,126.7359003
전라북도,군산시,궁포2로 20,학원,그림아트스튜디오미술학원,예능(대),35.9785478,126.7399891
전라북도,군산시,요죽5길 41,교습소,글로리피아노교습소,예능(대),35.9663538,126.5623332
전라북도,군산시,궁포3로 12,학원,금빛음악학원,예능(대),35.9766096,126.7417354
전라북도,군산시,궁포3로 12,학원,기탄사고력교실디오션학원,입시.검정 및 보습,35.9766096,126.7417354
전라북도,군산시,공단대로 54,학원,기탄사고력교실조촌써미트학원,입시.검정 및 보습,35.9611272,126.7368385
전라북도,군산시,미장안길 60,학원,김경원바둑학원,기타(대),35.9693172,126.7269365
전라북도,군산시,수송로 336,학원,김경희영재피아노학원,예능(대),35.9639196,126.7326279
전라북도,군산시,미장6길 40,교습소,김다올피아노스튜디오교습소,예능(대),35.9631815,126.7288023
전라북도,군산시,축동안길 41,학원,김동현영어학원,입시.검정 및 보습,35.9673391,126.7140188
전라북도,군산시,수송로 60,학원,김선생영수학원,입시.검정 및 보습,35.9658282,126.7024344
전라북도,군산시,수송로 218,학원,김선용메타입시학원,입시.검정 및 보습,35.9638615,126.719436
전라북도,군산시,수송로 216,학원,김수경어학원,국제화,35.9637937,126.7192345
전라북도,군산시,수송동로 91,교습소,김영귀수학전문교습소,입시.검정 및 보습,35.968225,126.7185874
전라북도,군산시,문화로 208-8,학원,김은정피아노학원,예능(대),35.9690447,126.7283696
전라북도,군산시,설림길 56 (),학원,김인희피아노학원,예능(대),35.9750918,126.6829158
전라북도,군산시,미장안길 3,학원,김재순수학학원,입시.검정 및 보습,35.9643528,126.7264309
전라북도,군산시,신지길 7,학원,김정숙무용학원,예능(대),35.9587543,126.7052832
전라북도,군산시,백토로 138,학원,김태관수학전문학원,입시.검정 및 보습,35.9668235,126.705488
전라북도,군산시,의료원로 159,학원,김현학원,입시.검정 및 보습,35.9587119,126.6990773
전라북도,군산시,서당길 26,학원,김혜정피아노학원,예능(대),35.9780902,126.7524079
전라북도,군산시,패총2길 31,학원,꿈꾸는길논술학원,입시.검정 및 보습,35.9952796,126.7512949
전라북도,군산시,용둔길 6,학원,꿈꾸는피아노학원,예능(대),35.9426215,126.6926248
전라북도,군산시,나운안길 27,학원,나노주산암산학원,입시.검정 및 보습,35.964191,126.7030639
전라북도,군산시,법원로 57,학원,나라경매학원,직업기술,35.9674463,126.7402055
전라북도,군산시,하나운로 18,학원,나운제1서일영어학원,입시.검정 및 보습,35.9605169,126.6995755
전라북도,군산시,축동안2길 35,학원,나이스스터디독서실,독서실,35.9674664,126.7114307
전라북도,군산시,의료원로 180,교습소,날아라드럼교습소,예능(대),35.9601665,126.6970762
전라북도,군산시,하나운로 77,학원,남혜연피아노음악학원,예능(대),35.9653533,126.7023195
전라북도,군산시,진포3길 12-1,학원,내가좋아하는피아노학원,예능(대),35.9728136,126.7170949
전라북도,군산시,수송로 134,학원,노우스학원,입시.검정 및 보습,35.9637577,126.7101726
전라북도,군산시,미룡로 26,학원,눈높이러닝센터미룡학원,입시.검정 및 보습,35.9427142,126.6884725
전라북도,군산시,수송로 133,학원,눈높이러닝센터수송학원,입시.검정 및 보습,35.9642277,126.7101199
전라북도,군산시,칠성7길 56,학원,뉴뮤즈음악학원,예능(대),35.9657972,126.6804946
전라북도,군산시,축동로 188,학원,뉴비제피아노학원,예능(대),35.9758561,126.7103315
전라북도,군산시,궁포3로 8,학원,뉴온수학영어학원,입시.검정 및 보습,35.9762154,126.7417539
전라북도,군산시,팔마로 138 (),학원,뉴-이지독서실,독서실,35.9734107,126.7164212
전라북도,군산시,궁포2로 75,교습소,"늘,봄브레인뮤직아트음악교습소",예능(대),35.9804069,126.7459009
전라북도,군산시,황룡로 53,학원,늘품학원,입시.검정 및 보습,35.9442582,126.6908361
전라북도,군산시,설림길 54-2,학원,능률주니어랩군산소룡학원,입시.검정 및 보습,35.9751299,126.6832882
전라북도,군산시,공단대로 253,학원,니진스발레학원,예능(대),35.9591827,126.7136275
전라북도,군산시,궁포3로 13,학원,다多소리음악학원,예능(대),35.9767471,126.7410596
전라북도,군산시,대학로 227,학원,다울컴퓨터학원,직업기술,35.9720841,126.6999625
전라북도,군산시,공단대로 389,학원,대성N스쿨나운학원,입시.검정 및 보습,35.9619451,126.6991386
전라북도,군산시,공단대로 389,학원,대성N스쿨미룡학원,입시.검정 및 보습,35.9619451,126.6991386
전라북도,군산시,공단대로 388,학원,대성학원,입시.검정 및 보습,35.9624474,126.6995086
전라북도,군산시,수송로 257,학원,대승학원,입시.검정 및 보습,35.9642883,126.7238691
전라북도,군산시,동아로 153,학원,대진학원,입시.검정 및 보습,35.9687022,126.6841619
전라북도,군산시,궁포안2길 27,학원,대치동셈수학학원,입시.검정 및 보습,35.9767257,126.7447423
전라북도,군산시,수송로 216,학원,더강한수학학원,입시.검정 및 보습,35.9637937,126.7192345
전라북도,군산시,패총2길 31,학원,더드림전과목학원,입시.검정 및 보습,35.9952796,126.7512949
전라북도,군산시,궁포1로 80,학원,더배움학원,입시.검정 및 보습,35.9775149,126.7460128
전라북도,군산시,신지길 9,학원,더베스트학원,입시.검정 및 보습,35.9586323,126.7054337
전라북도,군산시,계산로 87-10,교습소,더생각하는수학교습소,입시.검정 및 보습,35.9527562,126.7142996
전라북도,군산시,궁포1로 79,학원,더샵라라피아노학원,예능(대),35.9794574,126.7460308
전라북도,군산시,궁포1로 79,교습소,더샵피아노음악교습소,예능(대),35.9794574,126.7460308
전라북도,군산시,궁포안2길 27,학원,더쎈학원,입시.검정 및 보습,35.9767257,126.7447423
전라북도,군산시,궁포3로 8,학원,더에이급수학학원,입시.검정 및 보습,35.9762154,126.7417539
전라북도,군산시,양촌1길 12,학원,더에프엠수학전문학원,입시.검정 및 보습,35.9779464,126.7474835
전라북도,군산시,궁포2로 25,학원,더엘피아노학원,예능(대),35.9811859,126.740224
전라북도,군산시,궁포3로 13,학원,더채움전과목학원,입시.검정 및 보습,35.9767471,126.7410596
전라북도,군산시,궁포3로 13,학원,더청담수학프리미엄수학학원,입시.검정 및 보습,35.9767471,126.7410596
전라북도,군산시,하나운로 18,교습소,더포스과학교습소,입시.검정 및 보습,35.9605169,126.6995755
전라북도,군산시,궁포2로 20,학원,더하이스트수학학원,입시.검정 및 보습,35.9785478,126.7399891
전라북도,군산시,궁포3로 8,학원,데미안하이레벨영어학원,입시.검정 및 보습,35.9762154,126.7417539
전라북도,군산시,수송로 73,학원,도담수학전문학원,입시.검정 및 보습,35.9653445,126.7039331
전라북도,군산시,진포3길 35,교습소,도레미음악교습소,예능(대),35.9731196,126.7193723
전라북도,군산시,설림안3길 18 (),학원,도레미학원,예능(대),35.9762177,126.6816073
전라북도,군산시,미룡로 54,교습소,도이치피아노교습소,예능(대),35.9443875,126.6909405
전라북도,군산시,대학로 195,학원,동양전산회계컴퓨터학원,종합(대),35.9745288,126.7020339
전라북도,군산시,의료원로 159,학원,두드림학원,입시.검정 및 보습,35.9587119,126.6990773
전라북도,군산시,지곡로 52,교습소,두들미술관미술교습소,예능(대),35.9550359,126.7101027
전라북도,군산시,미룡로 46,학원,두몫수학과학학원,입시.검정 및 보습,35.9438409,126.6904098
전라북도,군산시,하나운로 18,학원,드림학원,입시.검정 및 보습,35.9605169,126.6995755
전라북도,군산시,궁포안2길 27,학원,드볼레발레전문학원,예능(대),35.9767257,126.7447423
전라북도,군산시,백릉로 145,학원,디아트허브미술학원,예능(대),35.9759001,126.7420883
전라북도,군산시,동아로 148,학원,디에스수학학원,입시.검정 및 보습,35.9683841,126.6844784
전라북도,군산시,궁포1로 42,학원,디오션EMS학원,입시.검정 및 보습,35.9769415,126.7420758
전라북도,군산시,궁포안2길 27,학원,디오션안지은영어학원,입시.검정 및 보습,35.9767257,126.7447423
전라북도,군산시,궁포안2길 27,학원,디오션허브미술학원,예능(대),35.9767257,126.7447423
전라북도,군산시,진포로 78,학원,디자인두입시미술학원,예능(대),35.9663859,126.7303854
전라북도,군산시,대명길 13,교습소,딥매쓰수학교습소,입시.검정 및 보습,35.9788173,126.7233452
전라북도,군산시,미장안길 50-13,학원,딩딩딩뮤직스쿨음악학원,예능(대),35.9690198,126.7272487
전라북도,군산시,축동안3길 24,학원,라니아무용(댄스)학원,예능(대),35.9681399,126.7147724
전라북도,군산시,해망로 606,학원,라라엘피아노학원,예능(대),35.98184,126.6763449
전라북도,군산시,신지길 15,학원,라엘음악학원,예능(대),35.9585216,126.7058206
전라북도,군산시,수송로 215,학원,라온에듀학원,입시.검정 및 보습,35.9642699,126.7190532
전라북도,군산시,미장안길 50-1,학원,라온음악학원,예능(대),35.9686808,126.7268931
전라북도,군산시,수송로 133,학원,라이트하우스인터내셔널스쿨학원,국제화,35.9642277,126.7101199
전라북도,군산시,상신4길 10,학원,라임피아노학원,예능(대),35.9728274,126.6951143
전라북도,군산시,대명길 3,학원,라테우스음악학원,예능(대),35.9789781,126.7224281
전라북도,군산시,수송로 217,학원,랭콘잉글리쉬군산캠퍼스학원,국제화,35.9642673,126.7192331
전라북도,군산시,칠성6길 113,학원,런던스쿨영어·수학학원,입시.검정 및 보습,35.9655037,126.6779959
전라북도,군산시,대명4길 9,학원,레비뉴스테이초등전문학원,입시.검정 및 보습,35.9815168,126.7217971
전라북도,군산시,임피면 임피2길 18,학원,레인보우학원,종합(대),35.9844016,126.8480389
전라북도,군산시,수송동로 100,학원,로고스수학학원,입시.검정 및 보습,35.969015,126.7212644
전라북도,군산시,계산로 78,학원,루바체음악학원,예능(대),35.9508045,126.712916
전라북도,군산시,나운5길 46,학원,루엔메디무용학원,예능(대),35.9620467,126.7017918
전라북도,군산시,서수송1길 9,학원,루트수학전문학원,입시.검정 및 보습,35.9642408,126.7097063
전라북도,군산시,백토로 229,학원,르누아르미술학원,예능(대),35.9586438,126.7045945
전라북도,군산시,나운로 4,학원,리더스대입학원,입시.검정 및 보습,35.9701423,126.7053828
전라북도,군산시,나운로 4,학원,리더스종합학원,입시.검정 및 보습,35.9701423,126.7053828
전라북도,군산시,계산로 51,학원,리드인독서내신학원,입시.검정 및 보습,35.9521364,126.7098111
전라북도,군산시,축동로 32,교습소,리드인독서논술교습소,입시.검정 및 보습,35.9620751,126.7109209
전라북도,군산시,대명4길 9,학원,리드인독서논술군산학원,입시.검정 및 보습,35.9815168,126.7217971
전라북도,군산시,궁포1로 44,학원,리드인독서논술디오션학원,입시.검정 및 보습,35.9769379,126.7423596
전라북도,군산시,옥산면 월명로 45,학원,리드인독서논술학원,입시.검정 및 보습,35.94729,126.7144477
전라북도,군산시,수송로 212,학원,리딩맥영어학원,국제화,35.9637869,126.7188733
전라북도,군산시,궁포2로 25,교습소,리딩앤클라이영어교습소,입시.검정 및 보습,35.9811859,126.740224
전라북도,군산시,미룡로 28,학원,리스트음악학원,예능(대),35.9427295,126.688731
전라북도,군산시,수송로 134,교습소,리영어교습소,입시.검정 및 보습,35.9637577,126.7101726
전라북도,군산시,수송동로 100,학원,리첼음악학원,예능(대),35.969015,126.7212644
전라북도,군산시,황룡로 57,학원,리틀무지개미술학원,예능(대),35.9440411,126.6911798
전라북도,군산시,현충로 39,교습소,림스튜디오음악교습소,예능(대),35.9589924,126.688267
전라북도,군산시,하나운로 18,학원,링즈영어학원,입시.검정 및 보습,35.9605169,126.6995755
전라북도,군산시,미장안길 60,학원,링컨더글라스어학원,국제화,35.9693172,126.7269365
전라북도,군산시,궁포3로 8,학원,링키영어학원,국제화,35.9762154,126.7417539
전라북도,군산시,패총2길 31,학원,마닳수학학원,입시.검정 및 보습,35.9952796,126.7512949
전라북도,군산시,궁포1로 79,학원,마스터수학학원,입시.검정 및 보습,35.9794574,126.7460308
전라북도,군산시,궁포2로 75,교습소,마이멜로디피아노음악교습소,예능(대),35.9804069,126.7459009
전라북도,군산시,미장남로 111-3,학원,맘에그린미술학원,예능(대),35.9623083,126.7357042
전라북도,군산시,부골4길 7,학원,매쓰프로수학전문학원,입시.검정 및 보습,35.9750916,126.7425812
전라북도,군산시,경기장로 149,학원,맥스솔루션과학수학학원,입시.검정 및 보습,35.9752637,126.745542
전라북도,군산시,부골2길 47-4,학원,맨투맨학원,입시.검정 및 보습,35.9747511,126.7430025
전라북도,군산시,문화로 214,학원,메디컬간호학원,직업기술,35.9705986,126.729165
전라북도,군산시,나운로 77,교습소,메종드피아노교습소,예능(대),35.965831,126.6997911
전라북도,군산시,신지길 12,학원,메타과학수학학원,입시.검정 및 보습,35.9583875,126.705393
