,Local_Store_Name,County,City,Address,Latitude,Longitude
73,수북농협로컬푸드직매장,전라남도,담양군,수북면 한수동로 543,35.3004784,126.9319704
74,남원원예농협 로컬푸드직매장,전라북도,남원시,오들로 49,35.42249,127.4006876
75,나주시로컬푸드직매장 금남점 금나와락,전라남도,나주시,금성관길 17,35.0324937,126.7157038
76,경주농협 하나로마트 로컬푸드직매장,경상북도,경주시,태종로 717,35.8394457,129.2064587
77,거창푸드종합센터,경상남도,거창군,거창읍 거함대로 3372-8,35.6760829,127.9272962
78,천북농협 로컬푸드직매장,경상북도,경주시,천북면 모아동산길 8,35.9193093,129.2454489
79,천북농협로컬푸드직매장,경상북도,경주시,천북면 모아동산길 8,35.9193093,129.2454489
80,일로농협 로컬푸드 직매장,전라남도,무안군,일로읍 일로로 64,34.849062,126.4940495
81,김해농산물종합유통센터 로컬푸드 직매장,경상남도,김해시,칠산로 128,35.1838479,128.8363814
82,(재)완주공공급식지원센터,전라북도,완주군,봉동읍 은하율소로 179-49,35.9558718,127.1724729
83,포항시산림조합 로컬푸드직매장,경상북도,포항시,북구 흥해읍 새마을로 331-6,36.0443085,129.3273514
84,고창농협하나로마트 로컬푸드직매장,전라북도,고창군,고창읍 성산로 22,35.4379323,126.6945284
85,동거창농협 로컬푸드직매장,경상남도,거창군,가조면 지산로 1462,35.7075397,128.0166726
86,영광농협 로컬푸드직매장,전라남도,영광군,영광읍 현암길 9,35.2770938,126.5065438
87,농부들애 익산로컬푸드직매장,전라북도,익산시,고봉로18길 37,35.9528155,126.973061
88,순천농협 로컬푸드코너 순천대점,전라남도,순천시,중앙로 235,34.9659655,127.4840108
89,고산농협 로컬푸드 직매장,전라북도,완주군,고산면 고산로 77,35.9756951,127.2055573
90,김해 로컬푸드 임시 직매장,경상남도,김해시,관동로 14,35.1769558,128.8057505
91,강진농협 로컬푸드직매장,전라남도,강진군,강진읍 보은로 152,34.6381966,126.7749167
92,사남농협하나로마트 로컬푸드직매장,경상남도,사천시,사남면 사남로 1077,35.053397,128.0742148
93,안강농협하나로마트,경상북도,경주시,안강읍 비화원로 62,35.9909354,129.2259082
94,내남농협 로컬푸드직매장,경상북도,경주시,내남면 이조중앙길 12,35.750624,129.1984012
95,남원농협 하나로마트 로컬푸드 직매장,전라북도,남원시,동문로 94,35.4139144,127.3865131
96,동경주농협 로컬푸드 직판장,경상북도,경주시,문무대왕면 경감로 2454,35.7926055,129.4417499
97,함안군 로컬푸드 행복장터,경상남도,함안군,칠서면 계룡로 122-1,35.3709939,128.4967191
98,서청도농업협동조합 로컬푸드직매장,경상북도,청도군,이서면 양원길 73,35.6897969,128.6862783
99,해남군 로컬푸드 직매장,전라남도,해남군,해남읍 구교3길 4,34.5769296,126.5926094
100,구미로컬푸드직매장 농부마음,경상북도,구미시,봉곡북로 88,36.1538775,128.3134745
101,대동농협 로컬푸드 직매장,경상남도,김해시,대동면 동남로49번길 87,35.2359133,128.9847333
102,광양원예농협 LF로컬푸드마켓,전라남도,광양시,광양읍 순광로 466,34.9625085,127.5678273
103,합천로컬푸드영농조합법인,경상남도,합천군,용주면 합천호수로 757,35.5484071,128.0728406
104,화순축협로컬푸드직매장&하나로마트,전라남도,화순군,화순읍 서양로 145,35.0525131,126.9891728
105,압량농협 로컬푸드 직매장,경상북도,경산시,압량읍 대학로75길 2,35.8419971,128.7610886
106,양남농협하나로마트로컬푸드판매장,경상북도,경주시,양남면 해변공원길 103,35.6772948,129.4624461
107,봉산농협 쌍교로컬푸드직매장,전라남도,담양군,봉산면 송강정로 208,35.2531392,126.9517878
