School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
성주초등학교,초등학교,경상북도,성주군,성주읍,경산리 169-1,35.91945837,128.2847469
옥대초등학교,초등학교,경상북도,영주시,단산면,옥대리 200,36.94959982,128.6180811
오비초등학교,초등학교,경상남도,거제시,연초면,오비리 657-1,34.9228299,128.622399
전주자연초등학교,초등학교,전라북도,전주시,덕진구,송천동2가 1305,35.87767589,127.135954
남양초등학교,초등학교,경상북도,울릉군,서면,남양리 586-2,37.46912916,130.8400802
명도초등학교,초등학교,경상남도,창원시,의창구,명곡동 119,35.25593918,128.644023
초서초등학교,초등학교,경상북도,포항시,북구,흥해읍 초곡리 1769,36.094127,129.3333431
포항용산초등학교,초등학교,경상북도,포항시,남구,오천읍 용산리 360-11,35.9481799973,129.4085662
수곡초등학교,초등학교,경상남도,진주시,수곡면,대천리 98-1,35.20117977,127.9317406
명석초등학교,초등학교,경상남도,진주시,명석면,우수리 109,35.218106,128.0402584
관봉초등학교,초등학교,경상남도,진주시,정촌면,관봉리 1150,35.13711732,128.1431455
연초초등학교,초등학교,경상남도,거제시,연초면,죽토리 1131,34.91212579,128.6516566
거제용산초등학교,초등학교,경상남도,거제시,상동동,746-2,34.86731865,128.6307071
울릉초등학교,초등학교,경상북도,울릉군,울릉읍,도동리 232-11,37.48615946,130.9027321
