County,City,Town,Address,Hospital_Name,Hospital_Type,Latitude,Longitude
전라남도,목포시,상동,847-5번지,목포한사랑병원,병원,34.8057773,126.4236785
경상북도,울진군,울진읍,연지리 119번지,울진군의료원,의사,36.992588,129.4102
경상북도,안동시,서후면,광평리 211번지 3호,경북재활병원,병원,36.6538339,128.6955993
전라북도,군산시,나운동,830-9,의료법인의인의료재단차병원,병원,35.9684631,126.6975608
경상남도,김해시,진영읍,진영리 290-8,의료법인한서의료재단 진영병원,병원,35.3060092,128.7270155
경상남도,양산시,평산동,31-5번지,의료법인 서재의료재단 혜인요양병원,요양병원(일반요양병원),35.3848464,129.1550568
경상남도,진주시,망경동,494-4 목화노인병원,의료법인 목화의료재단 목화요양병원,요양병원(일반요양병원),35.1791086,128.0815455
경상북도,안동시,용상동,1592-31 안동병원,안동요양병원,요양병원(일반요양병원),36.5600039,128.744341
전라남도,담양군,대덕면,비차리,창평우리병원,정신병원,35.2571,127.0039
전라남도,해남군,해남읍,고도리 117번지 1호 1호,해남한국병원,의사,34.5669121,126.5957988
경상남도,창원시,마산회원구,내서읍 중리 1044번지 1호,의료법인청아의료재단청아병원,종합병원,35.247811,128.5094445
경상남도,창원시,마산합포구,월남동2가 5번지,의료법인합포의료재단에스엠지연세병원,종합병원,35.1862968,128.5615863
전라북도,전주시,완산구,중화산동2가 743-7,본병원,병원,35.8251543,127.1155828
경상남도,창원시,마산합포구,중앙동3가 4번지 247호,의료법인석영의료재단창원제일종합병원,종합병원,35.1978635,128.5697433
경상남도,창원시,의창구,사림동 164-1,창원한마음병원,종합병원,35.237912,128.69905
전라북도,전주시,완산구,평화동1가 711-1,한양병원,병원,35.7961502,127.1351377
경상남도,하동군,금남면,계천리 366-3,하동우리들병원,정신병원,34.9958265,127.8104197
경상남도,창원시,성산구,반지동 78 케이프타운,희연요양병원,요양병원(일반요양병원),35.2399735,128.6625528
경상북도,경주시,성건동,211번지 4호 4호,현대병원,의사,35.8454843,129.2069349
경상북도,청송군,진보면,후평리 66번지,청송진보병원,,36.5356539,129.026593
전라북도,익산시,마동,126-29,동산병원,병원,35.9368828,126.9620352
경상북도,경주시,노동동,117번지,의료법인 성산의료재단 새빛병원,정신병원,35.8423414,129.2111111
경상북도,경주시,노동동,117번지,의료법인성산의료재단새빛병원,,35.8423414,129.2111111
전라북도,익산시,신동,142-1,의료법인대산의료재단익산병원,종합병원,35.9618271,126.9666773
전라북도,전주시,덕진구,산정동 852번지 1호,전주고려병원,종합병원,35.8399098,127.1669004
경상북도,경산시,상방동,242번지 3호,경상북도립경산노인전문요양병원,요양병원(일반요양병원),35.8096119,128.7399971
전라남도,보성군,벌교읍,장좌리 292번지,의료법인삼호의료재단 삼호병원,,34.8339828,127.3455699
경상북도,의성군,안계면,용기리 924번지 3호 3호,의료법인영제의료재단영남제일병원,,36.3902048,128.4348074
경상남도,사천시,축동면,가산리 447-2 경남도립사천노인전문병원,의료법인 행복한의료재단 경남도립사천노인전문병원,요양병원(일반요양병원),35.0920186,128.0456699
