Bank_Type,Bank_Name,Bank_Address,County,City,Town,Address,Latitude,Longitude
광주은행,빛가람한전,전라남도 나주시 빛가람동   전력로 2,전라남도,나주시,빛가람동,전력로 2,35.02188,126.790193
광주은행,순천,전라남도 순천시 장천동   중앙로 72,전라남도,순천시,장천동,중앙로 72,34.948478,127.486756
광주은행,순천법조타운,전라남도 순천시 왕지동   왕지로 35,전라남도,순천시,왕지동,왕지로 35,34.975,127.538
광주은행,순천신대,전라남도 순천시 해룡면   향매로 109,전라남도,순천시,해룡면,향매로 109,34.9332783,127.5513877
광주은행,여서동,전라남도 여수시 여서동   여서1로 8,전라남도,여수시,여서동,여서1로 8,34.750726,127.708854
광주은행,여수,전라남도 여수시 교동   중앙로 28,전라남도,여수시,교동,중앙로 28,34.739977,127.732418
광주은행,여수시청,전라남도 여수시 학동   시청로 1,전라남도,여수시,학동,시청로 1,34.7623,127.6625
광주은행,여수시청로,전라남도 여수시 학동   시청로 15,전라남도,여수시,학동,시청로 15,34.7623,127.6625
광주은행,여수웅천,전라남도 여수시 웅천동   웅천로 134,전라남도,여수시,웅천동,웅천로 134,34.747342,127.681595
광주은행,연향동,전라남도 순천시 조례동   이수로 319,전라남도,순천시,조례동,이수로 319,34.9618,127.524
광주은행,영광,전라남도 영광군 영광읍   옥당로 125,전라남도,영광군,영광읍,옥당로 125,35.2733171,126.5019100
광주은행,영산포,전라남도 나주시 이창동   예향로 3803,전라남도,나주시,이창동,예향로 3803,34.997635,126.710525
광주은행,영암,전라남도 영암군 영암읍   중앙로 34,전라남도,영암군,영암읍,중앙로 34,34.7991478,126.6975923
광주은행,완도,전라남도 완도군 완도읍   장보고대로 264,전라남도,완도군,완도읍,장보고대로 264,34.3154393,126.7539499
광주은행,용당동,전라남도 목포시 용당동   영산로 302,전라남도,목포시,용당동,영산로 302,34.806,126.391687
광주은행,율촌산단,전라남도 순천시 해룡면   율촌산단4로 13,전라남도,순천시,해룡면,율촌산단4로 13,34.8980514,127.5798344
광주은행,장성,전라남도 장성군 장성읍   영천로 168,전라남도,장성군,장성읍,영천로 168,35.3002862,126.7825331
광주은행,장흥,전라남도 장흥군 장흥읍   중앙로 19-1,전라남도,장흥군,장흥읍,중앙로 19-1,34.6777577,126.9084233
광주은행,전남도청,전라남도 무안군 삼향읍   오룡길 1,전라남도,무안군,삼향읍,오룡길 1,34.8161102,126.4631714
광주은행,전남영업부,전라남도 무안군 삼향읍   후광대로 242,전라남도,무안군,삼향읍,후광대로 242,34.8139710,126.4581263
광주은행,하당,전라남도 목포시 상동   신흥로 50,전라남도,목포시,상동,신흥로 50,34.813824,126.414172
광주은행,함평,전라남도 함평군 합평읍   광남길 71,전라남도,함평군,합평읍,광남길 71,35.063819,126.519653
광주은행,해남,전라남도 해남군 해남읍   남부순환로 159,전라남도,해남군,해남읍,남부순환로 159,34.5654404,126.5943034
광주은행,화순,전라남도 화순군 화순읍   자치샘로 48,전라남도,화순군,화순읍,자치샘로 48,35.0609453,126.9860371
광주은행,화순전대병원,전라남도 화순군 화순읍   서양로 322,전라남도,화순군,화순읍,서양로 322,35.0594333,127.0025000
수출입은행,구미,경상북도 구미시 신평동   구미대로 350-27,경상북도,구미시,신평동,구미대로 350-27,36.120907,128.359275
수출입은행,여수,전라남도 여수시 봉계동   좌수영로 962-12,전라남도,여수시,봉계동,좌수영로 962-12,34.7836,127.6799
수출입은행,전주,전북특별자치도 전주시 서신동   온고을로 1,전라북도,전주시,서신동,온고을로 1,35.831085,127.115549
수출입은행,창원,경상남도 창원시 용호동   중앙대로 257,경상남도,창원시,용호동,중앙대로 257,35.23439,128.681995
신한은행,LG이노텍(출),경북 구미시 구포동   옥계2공단로 221,경상북도,구미시,구포동,옥계2공단로 221,36.1279,128.4159
신한은행,LG이노텍1(출),경북 구미시 공단동   수출대로9길 66,경상북도,구미시,공단동,수출대로9길 66,36.0993,128.3798
신한은행,LG전자창원1공장(출),경남 창원시 성산구   성산패총로 170,경상남도,창원시,성산구,성산패총로 170,35.2054972,128.6858721
신한은행,LG전자창원2공장디지털출장소,경남 창원시 성산구   완암로 84,경상남도,창원시,성산구,완암로 84,35.2091217,128.6675055
신한은행,거제금융센터,경남 거제시 고현동   거제중앙로 1925,경상남도,거제시,고현동,거제중앙로 1925,34.88219,128.618473
신한은행,거창,경남 거창군 거창읍   중앙로 127,경상남도,거창군,거창읍,중앙로 127,35.6870506,127.9122968
신한은행,경산공단금융센터,경북 경산시 진량읍   공단6로24길 239,경상북도,경산시,진량읍,공단6로24길 239,35.87399,128.816213
신한은행,경주금융센터,경북 경주시 동부동   화랑로 99,경상북도,경주시,동부동,화랑로 99,35.8458,129.212
신한은행,경주동국대학교(출),경북 경주시 석장동   동대로 123,경상북도,경주시,석장동,동대로 123,35.8589,129.1874
신한은행,경주법원(출),경북 경주시 동부동   화랑로 89,경상북도,경주시,동부동,화랑로 89,35.8458,129.212
신한은행,광양금융센터,전남 광양시 중동   오류로 40,전라남도,광양시,중동,오류로 40,34.9364,127.6938
신한은행,구미금융센터,경북 구미시 공단동   1공단로 188,경상북도,구미시,공단동,1공단로 188,36.1229046,128.3666835
신한은행,군산,전북 군산시 수송동   월명로 219,전라북도,군산시,수송동,월명로 219,35.964879,126.717553
신한은행,군산법원(출),전북 군산시 조촌동   법원로 68,전라북도,군산시,조촌동,법원로 68,35.974425,126.737225
신한은행,김천금융센터,경북 김천시 평화동   김천로 146,경상북도,김천시,평화동,김천로 146,36.125564,128.111623
