Bank_Type,Bank_Name,Bank_Address,County,City,Town,Address,Latitude,Longitude
전북은행,전북특별자치도청,전라북도 전주시 완산구   225,전라북도,전주시,완산구,225,35.8122,127.119813
전북은행,전주공단,전라북도 전주시 덕진구   164,전라북도,전주시,덕진구,164,35.8294,127.134362
전북은행,전주법원,전라북도 전주시 덕진구   31,전라북도,전주시,덕진구,31,35.8294,127.134362
전북은행,전주시청,전라북도 전주시 완산구   10,전라북도,전주시,완산구,10,35.8122,127.119813
전북은행,전주첫마중길,전라북도 전주시 덕진구   777,전라북도,전주시,덕진구,777,35.8294,127.134362
전북은행,전주한옥마을,전라북도 전주시 완산구   5,전라북도,전주시,완산구,5,35.8122,127.119813
전북은행,정읍,전라북도 정읍시 수성동   1,전라북도,정읍시,수성동,1,35.5860294,126.8637125
전북은행,정읍시청,전라북도 정읍시 수성동   234,전라북도,정읍시,수성동,234,35.569567,126.850382
전북은행,조촌디오션,전라북도 군산시 조촌동   5,전라북도,군산시,조촌동,5,35.9811971,126.7432831
전북은행,중산,전라북도 전주시 완산구   260,전라북도,전주시,완산구,260,35.8122,127.119813
전북은행,진북동,전라북도 전주시 덕진구   10,전라북도,전주시,덕진구,10,35.8294,127.134362
전북은행,진안,전라북도 진안군 진안읍   1098,전라북도,진안군,진안읍,1098,35.78932,127.423233
전북은행,테크노파크,전라북도 전주시 덕진구   110-5,전라북도,전주시,덕진구,110-5,35.8294,127.134362
