County,City,Town,Address,Store_Name,Store_Type,Latitude,Longitude
울산광역시,남구,야음동,"878 롯데캐슬골드 중앙상가동 B101, B102호",GS THE FRESH 울산남부점,구분없음,35.5221602,129.3168199
서울특별시,서대문구,남가좌동,286-1 DMC금호리첸시아,이마트에브리데이 남가좌점,구분없음,37.5715684,126.9156987
경기도,고양시,일산서구,덕이동 373-21,(주)이마트에브리데이 고양덕이점,구분없음,37.6997952,126.7563345
서울특별시,용산구,이촌동,302-52 LG프라자,GS THE FRESH 용산이촌점,구분없음,37.5209758,126.9693516
대구광역시,달서구,월성동,682 월성 삼정그린코아 에듀파크,GS THE FRESH 월성삼정점,구분없음,35.8303290,128.5242862
전라남도,무안군,일로읍,오룡리 97,(주)이마트에브리데이 무안오룡점,구분없음,34.8050551,126.4839920
서울특별시,동작구,노량진동,16-1 노량진 드림스퀘어 복합빌딩,노량진 드림스퀘어,그 밖의 대규모점포,37.5143356,126.9394019
경기도,수원시,팔달구,매산로3가 108-78,GS THE FRESH 수원팔달점,구분없음,37.2659619,127.0082174
서울특별시,광진구,구의동,236-53 광진 더프레236,GS THE FRESH 광진구의점,구분없음,37.5426093,127.0845400
경상북도,김천시,부곡동,874-12,김천농협 로컬푸드복합문화센터,그 밖의 대규모점포,36.1259681,128.0931470
서울특별시,동대문구,용두동,39-1 청량리역한양수자인그라시엘,청량리역 한양수자인 그라시엘 판매시설,그 밖의 대규모점포,37.5773150,127.0430027
경상남도,사천시,정동면,고읍리 438-5 서원유통(주)탑마트사천점,(주)서원유통 탑마트 사천점,그 밖의 대규모점포,35.0793956,128.0869530
부산광역시,남구,대연동,52-8 1층,GS THE FRESH 부산대연점,그 밖의 대규모점포,35.1364680,129.1022490
서울특별시,용산구,한강로3가,1-1 나진상가,나진전자월드상가,전문점,37.5336217,126.9634186
서울특별시,종로구,무악동,82 무악현대아파트,GS THE FRESH 무악현대점,대형마트,37.5753907,126.9608065
인천광역시,서구,가정동,0 루원시티 SK Leaders' VIEW,(주)이마트에브리데이 인천sk리더스뷰점,구분없음,37.5212975,126.6760465
경기도,광명시,철산동,233,GS THE FRESH 광명철산점,구분없음,37.4795825,126.8667717
부산광역시,남구,용호동,"197 GS하이츠자이 401동 113, 호",GS THE FRESH 부산용호점,그 밖의 대규모점포,35.1326754,129.1109663
경상남도,사천시,벌리동,270-3 롯데슈퍼,롯데슈핑(주)롯데슈퍼 삼천포점,그 밖의 대규모점포,34.9421002,128.0863230
부산광역시,해운대구,우동,1504 센텀코아,(주)지에스리테일 센텀시티점,대형마트,35.1674547,129.1325272
서울특별시,용산구,한강로3가,3-23 나진상가,나진상가 15동,전문점,37.5330552,126.9637647
경상남도,함양군,함양읍,교산리 167-2 롯데슈퍼,테스트,그 밖의 대규모점포,35.5213429,127.7309058
서울특별시,성북구,길음동,508-16,GS THE FRESH 성북클라시아점,그 밖의 대규모점포,37.6090526,127.0271681
인천광역시,부평구,십정동,289-8,GS THE FRESH 부평열우물점,대형마트,37.4754127,126.6978449
인천광역시,부평구,십정동,289-8,GS THE FRESH 부평더샵점,대형마트,37.4754127,126.6978449
