School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
배방초등학교,초등학교,충청남도,아산시,배방읍,북수리 713-3,36.77101185,127.0629455
군산나운초등학교,초등학교,전북특별자치도,군산시,나운동,771-1,35.97270666,126.6922692
북평초등학교,초등학교,강원특별자치도,동해시,북평동,25-6,37.48224269,129.1242282
탄금초등학교,초등학교,충청북도,충주시,칠금동,824,36.98408373,127.9177437
대구율하초등학교,초등학교,대구광역시,동구,율하동,950,35.86781392,128.7015382
비인초등학교,초등학교,충청남도,서천군,비인면,성내리 212-4,36.14244436,126.6020314
화개초등학교,초등학교,광주광역시,서구,금호동,820,35.12519372,126.8569888
현동초등학교,초등학교,경상남도,창원시,마산합포구,현동 490,35.1469695,128.5565283
율하초등학교,초등학교,경상남도,김해시,율하동,1303,35.17167861,128.8078471
대구비봉초등학교,초등학교,대구광역시,서구,비산동,705-1,35.88276366,128.5686561
신명초등학교,초등학교,부산광역시,강서구,명지동,3427,35.09523277,128.920717
주석초등학교,초등학교,경상남도,김해시,부곡동,805-5,35.20266992,128.8024569
부평초등학교,초등학교,경기도,남양주시,진접읍,부평리 761,37.73775026,127.2015067
진말초등학교,초등학교,경기도,시흥시,장곡동,827,37.38051877,126.7881466
양진초등학교,초등학교,경기도,안성시,공도읍,진사리 335-6,36.98928184,127.140424
구만초등학교,초등학교,충청남도,예산군,고덕면,구만리 813-4,36.73310028,126.7326603
남평초등학교,초등학교,강원특별자치도,정선군,북평면,남평리 396 번지,37.43121093,128.6628689
세종도원초등학교,초등학교,세종특별자치시,연서면,월하리,859,36.58587778,127.2873598
여수미평초등학교,초등학교,전라남도,여수시,미평동,580,34.76400145,127.7067081
포천노곡초등학교,초등학교,경기도,포천시,이동면,노곡리 846-6,38.00793427,127.3361721
서울서강초등학교,초등학교,서울특별시,마포구,상수동,1-1,37.54869715,126.926851
교학초등학교,초등학교,강원특별자치도,원주시,소초면,학곡리 667 번지,37.43538093,128.0553274
청파초등학교외연도분교장,초등학교,충청남도,보령시,오천면,외연도리 69,36.228694,126.081726
매산초등학교,초등학교,전북특별자치도,고창군,대산면,매산리 196-3,35.34022886,126.5945381
남원노암초등학교,초등학교,전북특별자치도,남원시,노암동,270,35.39594928,127.3764889
서울삼전초등학교,초등학교,서울특별시,송파구,삼전동,63,37.50169984,127.0932689
조치원명동초등학교,초등학교,세종특별자치시,조치원읍,명리,19,36.60098735,127.3047859
장안초등학교,초등학교,부산광역시,기장군,장안읍,기룡리 301-1,35.34650207,129.2540999
금산동초등학교,초등학교,충청남도,금산군,금산읍,중도리 102,36.10406962,127.4985449
서대구초등학교,초등학교,대구광역시,서구,비산동,1484,35.889414,128.5577335
보길초등학교,초등학교,전라남도,완도군,보길면,부황리 202,34.16213528,126.5551306
율곡초등학교,초등학교,광주광역시,동구,산수동,573-1,35.1605384,126.9356033
서울고산초등학교,초등학교,서울특별시,구로구,고척동,76-10,37.49897255,126.8647727
청소초등학교,초등학교,충청남도,보령시,청소면,진죽리 267-1,36.4514277,126.5923295
방포초등학교,초등학교,충청남도,태안군,안면읍,승언리 3025-10,36.50683663,126.3474688
서울안평초등학교,초등학교,서울특별시,동대문구,장안동,353-1,37.56596821,127.0720334
한밭초등학교,초등학교,대전광역시,서구,둔산동,1386,36.35427285,127.3942275
동점초등학교,초등학교,강원특별자치도,태백시,동점동,60-1,37.10057564,129.0498649
서울강덕초등학교,초등학교,서울특별시,강동구,고덕동,222,37.55954748,127.1604836
도암초등학교,초등학교,경기도,이천시,신둔면,도암리 358,37.31859142,127.4427741
