School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
완도보길중학교,중학교,전라남도,완도군,보길면,부황리 11-3,34.16802251,126.5635684
공주영명중학교,중학교,충청남도,공주시,중동,308,36.4519602,127.1278725
세마중학교,중학교,경기도,오산시,세교동,625,37.18105837,127.042247
익산중학교,중학교,전북특별자치도,익산시,금마면,동고도리 565,35.99491837,127.055479
대연중학교,중학교,부산광역시,남구,대연동,1219-80,35.13195379,129.0850542
강경여자중학교,중학교,충청남도,논산시,강경읍,남교리 48-1,36.16054218,127.0212997
안산해양중학교,중학교,경기도,안산시,상록구,사동 1512-3,37.29530464,126.8211678
은계중학교,중학교,경기도,시흥시,대야동,642-244,37.447197,126.8001873
영양중학교,중학교,경상북도,영양군,영양읍,서부리 540,36.66077434,129.1108216
마산동중학교,중학교,경상남도,창원시,마산회원구,회원동 376-1,35.22110594,128.5681332
광주숭일중학교,중학교,광주광역시,북구,일곡동,46-24,35.21781348,126.8969064
신태인중학교,중학교,전북특별자치도,정읍시,신태인읍,신태인리 9,35.69198097,126.8937261
대청중학교,중학교,경상남도,김해시,대청동,319-2,35.18858742,128.8025437
만덕중학교,중학교,부산광역시,북구,만덕동,646-18,35.21489917,129.0316913
대촌중학교,중학교,광주광역시,남구,지석동,268-2,35.08507851,126.8321505
언양중학교,중학교,울산광역시,울주군,언양읍,동부리 15-1,35.57274968,129.1276791
보성중학교,중학교,서울특별시,송파구,방이동,89-22,37.52008989,127.1357293
왕선중학교,중학교,대구광역시,달성군,다사읍,매곡리 1541,35.8633285,128.4663062
번암중학교,중학교,전북특별자치도,장수군,번암면,노단리 491,35.53566532,127.5482984
서산여자중학교,중학교,충청남도,서산시,석림동,420,36.76881764,126.4668512
경성중학교,중학교,서울특별시,마포구,연남동,369-1,37.56351064,126.9191663
북서울중학교,중학교,서울특별시,도봉구,도봉동,585,37.68154186,127.0428342
임피중학교,중학교,전북특별자치도,군산시,서수면,서수리 1085-1,35.98422417,126.8698947
울산스포츠과학중학교,중학교,울산광역시,북구,산하동,799-1,35.62375059,129.4313014
오룡중학교,중학교,전라남도,무안군,삼향읍,남악리 2535,34.80782842,126.4752255
양서중학교,중학교,서울특별시,양천구,신월동,169-4,37.53262929,126.8291351
수성중학교,중학교,대구광역시,수성구,파동,2,35.82587108,128.6072057
순천삼산중학교,중학교,전라남도,순천시,해룡면,신대리 1995,34.933829,127.5557272
