Local_Store_Name,County,City,Address,Latitude,Longitude
판부농협하나로마트,강원도,원주시,치악로 1527(관설동),37.3202105,127.9648052
경주농특산물판매장 본점,경상북도,경주시,계림로 69,35.8406414,129.2134017
양평친환경로컬푸드 용문점,경기도,양평군,용문면 용문시장2길 12,37.483854,127.5946312
한국로컬푸드 유통사업단,충청남도,서산시,시장2로 20,36.7827564,126.4571169
하담로   ,경상남도,하동군,고전면 하동읍성로 9,34.9993353,127.8041299
품앗이마을 지족점,대전광역시,유성구,지족로364번길 40,36.3852069,127.3183343
제천로컬 푸드협동조합 직매장,충청북도,제천시,장평천로 11,37.1232155,128.2229058
영동로컬푸드협동조합,충청북도,영동군,영동읍 영동시장4길 37-14,36.1776925,127.774284
산포농협 하나로마트 로컬푸드직매장 빛누리점,전라남도,나주시,한빛로 171,35.0289206,126.7893188
로컬푸드직매장오성점,경기도,평택시,오성면 청오로 33-34,37.0149799,126.9835477
(주)농협하나로유통하나로마트옥동점,울산광역시,남구,문수로 406,35.5335398,129.2976755
제천로컬푸드협동조합 특판장,충청북도,제천시,의림대로 367-71,37.1553954,128.2070546
문경시농특산물직판장,경상북도,문경시,문경읍 새재로 935,36.7618565,128.0760991
행복한로컬푸드(주),대전광역시,유성구,지족북로66번길 60,36.3881392,127.3079803
울산원예농협 하나로마트,울산광역시,울주군,범서읍 장검길 10,35.5576485,129.2540428
김포농협로컬푸드직매장 2호점,경기도,김포시,김포한강4로 213,37.6492569,126.6589057
순천농협 로컬푸드직매장 파머스마켓점,전라남도,순천시,백연길 111,34.952535,127.5329483
청양로컬푸드직매장,충청남도,청양군,대치면 칠갑산로 704-18,36.438464,126.8493895
옥과농협로컬푸드직매장,전라남도,곡성군,옥과면 리문3길 12,35.2740615,127.1339737
성남농협 로컬푸드직매장 야탑역점,경기도,성남시,분당구 야탑로 94,37.4096418,127.1292584
순천농협 로컬푸드직매장 파머스마켓 봉화점,전라남도,순천시,비봉길 51-40,34.9670343,127.5210393
김천농협하나로마트 로컬푸드,경상북도,김천시,자산로 147,36.1240108,128.1173993
울산축산농협 한우프라자 신선점(햇토우랑),울산광역시,남구,중앙로 16,35.523075,129.318925
온양농협 로컬푸드 직매장,울산광역시,울주군,온양읍 온양로 191,35.4090603,129.2914957
토성농협하나로마트,강원도,고성군,토성면 학사촌길 97,38.2546391,128.5593146
증평농협하나로마트본점,충청북도,증평군,증평읍 광장로 27,36.7904856,127.5792779
울산축산농협 한우프라자 남창점(햇토우랑),울산광역시,울주군,온양읍 남창역길 25,35.4159414,129.2834314
울산축산농협 한우프라자 매곡점(햇토우랑),울산광역시,북구,괴정1길 7,35.6390537,129.3587897
범서농협 로컬푸드 직매장,울산광역시,울주군,범서읍 점촌6길 34,35.5693306,129.2397166
수북농협로컬푸드직매장,전라남도,담양군,수북면 한수동로 543,35.3004784,126.9319704
남원원예농협 로컬푸드직매장,전라북도,남원시,오들로 49,35.42249,127.4006876
제천로컬푸드협동조합 직매장,충청북도,제천시,신죽하로 50-1,37.1597802,128.2264133
울산축산농협 한우프라자 남산점(햇토우랑),울산광역시,남구,봉월로67번길 31,35.5385419,129.3019879
나주시로컬푸드직매장 금남점 금나와락,전라남도,나주시,금성관길 17,35.0324937,126.7157038
경주농협 하나로마트 로컬푸드직매장,경상북도,경주시,태종로 717,35.8394457,129.2064587
울산축산농협 한우프라자 언양점(햇토우랑),울산광역시,울주군,언양읍 반구대로 1144,35.5917549,129.1344605
울산축산농협 한우프라자 상북테마파크점(햇토우랑),울산광역시,울주군,상북면 내곡능골길 151-20,35.5871737,129.1182995
울산축산농협 한우프라자 동구점(햇토우랑),울산광역시,동구,등대로 17,35.4921293,129.4285263
거창푸드종합센터,경상남도,거창군,거창읍 거함대로 3372-8,35.6760829,127.9272962
천북농협 로컬푸드직매장,경상북도,경주시,천북면 모아동산길 8,35.9193093,129.2454489
서산 로컬푸드,충청남도,서산시,율지3로 27,36.7781747,126.4625616
온산농협 로컬푸드 직매장,울산광역시,울주군,온산읍 명봉거남로 62,35.4397505,129.316231
천북농협로컬푸드직매장,경상북도,경주시,천북면 모아동산길 8,35.9193093,129.2454489
일산농협로컬푸드직매장 1호점(풍산점),경기도,고양시,일산동구 숲속마을1로 34,37.6639728,126.7996192
일로농협 로컬푸드 직매장,전라남도,무안군,일로읍 일로로 64,34.849062,126.4940495
청량농협 로컬푸드 직매장,울산광역시,울주군,청량읍 율리영해로 8,35.5269004,129.2446166
부여농협 로컬푸드직매장,충청남도,부여군,부여읍 백제문화로 16,36.284502,126.93072
김해농산물종합유통센터 로컬푸드 직매장,경상남도,김해시,칠산로 128,35.1838479,128.8363814
울산축산농협 한우프라자 북구점(햇토우랑),울산광역시,북구,화산중앙로 92,35.5938745,129.3669142
(재)완주공공급식지원센터,전라북도,완주군,봉동읍 은하율소로 179-49,35.9558718,127.1724729
고양축산농협 로컬푸드직매장 (본점),경기도,고양시,덕양구 호국로 915-14,37.6654573,126.8448754
