address,농업_지원,농업_매물,교통,교육,편의,서비스,cluster
경상북도 청도군 매전면 두곡리,0.6243755732820452,-0.776684813362981,-0.9312396526846519,-0.5605861400941019,-0.6015736449439415,-1.2645290115763648,1
경상북도 청도군 매전면 덕산리,0.6235911467538734,-0.7761342986935326,-0.5893472725084649,-0.5604704371182012,-0.5706947756191971,-0.9522711851761005,1
경상북도 청도군 매전면 금천리,0.48240584919955704,-0.7770341598176626,-0.9067025501526026,-0.5606127551074424,-0.7414144158710484,-1.262897786153107,1
경상북도 청도군 매전면 관하리,0.4675838469483931,-0.7787319548617588,-0.4399282562785025,-0.5605874194854945,-0.7373359703586673,-1.1536992347859978,1
경상북도 청도군 매전면 상평리,0.34504714309973394,-0.7786868583654082,-1.1110903825816039,-0.5605040754379491,-0.6805583958962345,-0.9263198349629742,1
경상북도 청도군 매전면 하평리,0.40917220410032135,-0.7614991716398184,-0.36145712866269486,-0.534086481385307,-0.5890692329020132,-0.5002926428029391,1
경상북도 청도군 매전면 구촌리,-0.20244025547350777,-0.6294086420970659,-0.49375569376496875,-0.5603201111283866,-0.5389892040523169,-1.3926969928799213,1
경상북도 청도군 매전면 송원리,0.490739486708106,-0.3998613374978608,-1.047034020644592,-0.5568397953174751,-0.06809606746255625,-0.7164571963677093,1
경상북도 청도군 매전면 지전리,-0.026551110154925468,-0.5849287228469149,-0.5606879380943636,-0.5605641898474298,-0.519759051438812,-1.245351636715909,1
경상북도 청도군 매전면 내리,-0.42620646123377576,-0.5156449336719059,-0.7404170937591813,-0.5606055472944113,-0.841095264978565,-1.4459382766676367,1
경상북도 청도군 매전면 예전리,0.2147158573599061,-0.48981522569182717,-0.607109872469855,-0.5603641844040995,-0.49165730955512643,-0.9492901578542154,1
경상북도 청도군 매전면 장연리,-0.16806187477658863,0.39744518299434045,-0.8145419768300531,-0.5565682270977297,-0.8203733137955797,-0.8860022920822106,1
경상북도 청도군 매전면 호화리,0.04578152045781827,-0.005525504900769882,-1.026601104800185,-0.3698463199339916,-0.6897602354907233,-0.4356251397314017,1
경상북도 청도군 매전면 온막리,0.19932133584598458,-0.23264372282284154,-0.6459661759644554,-0.5539125812778749,-0.6496988945393172,-0.7321287387661468,1
전라북도 고창군 성송면 하고리,-0.23858337471551228,0.17632149722733573,-0.4059806526761826,-0.45001167785096996,-0.23101392107696142,0.24233479418685733,1
경상북도 청도군 매전면 용산리,0.3328420838896608,-0.47517105151605377,-1.1039169063937386,-0.5199797822942319,-0.6249608806840253,-0.5328109739926693,1
경상북도 청도군 매전면 동산리,0.2583749214508293,-0.6359566719786329,-0.5022705118653166,0.39546835422868665,-0.5496200553842767,-0.1563031127572086,1
경상북도 청도군 매전면 금곡리,0.24294079356454792,-0.7681069788091837,-1.2035535342119403,-0.5322620707700718,-0.41505907199995173,-0.2198337868631124,1
경상북도 청도군 매전면 당호리,0.0838277103577771,-0.6923689177495114,-0.787149618394093,-0.2778281729480858,-0.40110248783976804,-0.04195619177478605,1
경상북도 청도군 매전면 남양리,-0.010551827531840169,-0.5653576346707776,-0.7098602516032452,-0.3823454563014819,-0.5256002672990907,-0.1923481232559121,1
경상북도 청도군 금천면 오봉리,-0.5242380882030355,-0.7508914077040042,-0.9380117364186417,-0.5570020781741871,-0.7537722440142496,-0.9655772181464697,1
경상북도 청도군 금천면 박곡리,-0.6746048958720944,-0.7758646907975617,-1.1945712556091088,-0.5596655832782647,-0.7941080783377796,-1.1458026169775546,1
경상북도 청도군 금천면 신지리,-0.09284010587852454,-0.7535885187242916,-0.5012412299097911,0.17195168855832146,-0.3438845066185186,-0.19275622105539209,1
경상북도 청도군 금천면 임당리,-0.304291347943994,-0.7783471160822347,-0.8702008108407305,-0.5068314540611035,-0.43867144566476685,-0.41353327629637293,1
경상북도 청도군 금천면 방지리,-0.13455178614639016,-0.7786946590052517,-0.44225453652672425,-0.4937729426592954,-0.2384518921988858,-0.21049664323712114,1
경상북도 청도군 금천면 소천리,-0.134935642839837,-0.7796647058394295,-0.6288303520663409,-0.5605220104059598,-0.6171906282905057,-0.7715893198264935,1
경상북도 청도군 금천면 갈지리,0.15168691852603827,-0.7787614277253992,-0.27013366536585776,-0.5603361408706475,-0.6220988353001974,-0.8567206678003894,1
경상북도 청도군 금천면 김전리,0.2554796846758491,-0.7790383651853271,-0.7577765600666103,-0.5605701630513739,-0.6218523521973114,-0.8674482679919903,1
경상북도 청도군 금천면 동곡리,0.07250763332256142,-0.7754889860820203,-0.6296402546383759,-0.3836583198317188,-0.029444157721244202,-0.07662994655450023,1
경상북도 청도군 운문면 방지리,-0.3142860936000477,-0.7795572878248712,-0.5625402684899466,-0.5576949769691187,-0.3332357351082203,-0.4698106735905377,1
경상북도 청도군 운문면 마일리,-0.7945776248122116,-0.5239830725592698,-0.09492281187261553,-0.5606136327781882,-0.9465957279745133,-1.3223588844390757,1
경상북도 청도군 운문면 정상리,-0.7253508870472287,-0.5387525159403588,-0.4591425943296929,-0.5606131764318533,-0.9625301418371343,-1.341376220357621,1
경상북도 청도군 운문면 봉하리,-0.7513107154135401,-0.7446929029228101,-0.1036025085033649,-0.5606133263846246,-0.9404846679806864,-1.400625355386789,1
경상북도 청도군 운문면 지촌리,-0.8060929364451312,-0.7720939540618404,-0.4596712020360815,-0.5606107896557371,-0.916614451508215,-1.4009300781098806,1
경상북도 청도군 운문면 공암리,-0.7712868064707784,-0.7769659512175755,-0.741975643386756,-0.5606124504595761,-0.9208704431421694,-1.3457150565225922,1
경상북도 청도군 운문면 신원리,-1.1917938018272138,-0.7797438290193938,-1.2819059968776194,-0.5606138658328021,-1.0569705423958042,-1.7917822772999379,1
경상북도 청도군 운문면 대천리,-0.43215976449235566,-0.7796795554496132,-1.054890198369802,-0.5605906022966941,-0.7219305458547682,-0.917050128512767,1
경상북도 청도군 이서면 흥선리,0.45936046506892264,1.5368892778997751,-0.10274673855356671,-0.4877280533205792,-0.13923754943143396,-0.11859615085504585,2
경상북도 청도군 이서면 팔조리,0.4412144597773298,0.24442048399616312,-0.5125865609891256,-0.5540995834565481,-0.382305610678543,-0.8638075941160623,1
경상북도 청도군 이서면 대곡리,0.43280402046916117,-0.45346555788128834,-0.7504921578098595,-0.5539335133556496,-0.4648241357779577,-1.101548761690291,1
경상북도 청도군 이서면 칠곡리,0.6128281617140457,0.13970273148131884,-0.37480070015328876,-0.37430598533701975,-0.27777648547573364,-0.7874458567393731,1
전라남도 여수시 공화동 ,-0.08040723840169295,-0.7797918248103721,0.04608749979373646,3.468801764996049,2.295809841903024,2.1874752184425845,0
경상북도 성주군 대가면 칠봉리,0.9148888838476882,-0.5026535349987229,-0.3481950898874831,-0.45186580556269,-0.31500527632202846,-0.017453635193472428,3
경상북도 성주군 가천면 화죽리,0.09164364326233028,0.31577388918121946,-0.550372931957566,-0.315205439337478,-1.0105950161473292,-0.1525494482591794,1
경상북도 성주군 월항면 인촌리,0.35357866576913183,-0.06056577871349231,0.5488425812811443,-0.537088847695095,-0.4716860897285374,-0.6793739389810692,1
