상품명,도,시군구,카테고리
브로콜리,경상남도,합천군,채소
전통 장류,경상남도,합천군,가공식품
꿈꾸는 달걀,경상남도,합천군,축산물
쥬키니,경상남도,합천군,채소
"양떡메(양파즙, 떡가래, 메주)",경상남도,합천군,가공식품
고추,경상남도,합천군,채소
밀감,경상남도,통영시,과일
고구마줄기,경상남도,통영시,채소
산딸기,경상남도,김해시,과일
서양란,경상남도,김해시,축산물
금어초,경상남도,김해시,화훼
숙근안개초,경상남도,김해시,화훼
거베라,경상남도,김해시,화훼
장미&장군차,경상남도,김해시,가공식품
양란,경상남도,밀양시,축산물
창녕 송이버섯,경상남도,창녕군,버섯
