address,적용유형,시설유형,점수,시도,시군구,읍면동,리,법정동코드
경상북도 경주시 노동동 ,영농상속형,교육,10,경상북도,경주시,노동동,,47130106
경상북도 경주시 노동동 ,영농상속형,교통,6,경상북도,경주시,노동동,,47130106
경상북도 경주시 노동동 ,영농상속형,농업_매물,8,경상북도,경주시,노동동,,47130106
경상북도 경주시 노동동 ,영농상속형,농업_지원,10,경상북도,경주시,노동동,,47130106
경상북도 경주시 노동동 ,영농상속형,서비스,10,경상북도,경주시,노동동,,47130106
경상북도 경주시 노동동 ,영농상속형,편의,10,경상북도,경주시,노동동,,47130106
경상북도 경주시 노서동 ,가족정착형,교육,10,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,가족정착형,교통,6,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,가족정착형,농업_매물,9,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,가족정착형,농업_지원,10,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,가족정착형,서비스,10,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,가족정착형,편의,10,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,영농상속형,교육,10,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,영농상속형,교통,6,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,영농상속형,농업_매물,9,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,영농상속형,농업_지원,10,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,영농상속형,서비스,10,경상북도,경주시,노서동,,47130107
경상북도 경주시 노서동 ,영농상속형,편의,10,경상북도,경주시,노서동,,47130107
경상북도 경주시 동부동 ,영농상속형,교육,10,경상북도,경주시,동부동,,47130101
경상북도 경주시 동부동 ,영농상속형,교통,6,경상북도,경주시,동부동,,47130101
경상북도 경주시 동부동 ,영농상속형,농업_매물,8,경상북도,경주시,동부동,,47130101
경상북도 경주시 동부동 ,영농상속형,농업_지원,10,경상북도,경주시,동부동,,47130101
경상북도 경주시 동부동 ,영농상속형,서비스,10,경상북도,경주시,동부동,,47130101
경상북도 경주시 동부동 ,영농상속형,편의,10,경상북도,경주시,동부동,,47130101
경상북도 경주시 북부동 ,영농상속형,교육,10,경상북도,경주시,북부동,,47130103
경상북도 경주시 북부동 ,영농상속형,교통,6,경상북도,경주시,북부동,,47130103
경상북도 경주시 북부동 ,영농상속형,농업_매물,7,경상북도,경주시,북부동,,47130103
경상북도 경주시 북부동 ,영농상속형,농업_지원,10,경상북도,경주시,북부동,,47130103
경상북도 경주시 북부동 ,영농상속형,서비스,10,경상북도,경주시,북부동,,47130103
경상북도 경주시 북부동 ,영농상속형,편의,10,경상북도,경주시,북부동,,47130103
경상북도 경주시 서부동 ,영농상속형,교육,10,경상북도,경주시,서부동,,47130102
경상북도 경주시 서부동 ,영농상속형,교통,7,경상북도,경주시,서부동,,47130102
경상북도 경주시 서부동 ,영농상속형,농업_매물,8,경상북도,경주시,서부동,,47130102
경상북도 경주시 서부동 ,영농상속형,농업_지원,10,경상북도,경주시,서부동,,47130102
경상북도 경주시 서부동 ,영농상속형,서비스,10,경상북도,경주시,서부동,,47130102
경상북도 경주시 서부동 ,영농상속형,편의,10,경상북도,경주시,서부동,,47130102
경상북도 경주시 서악동 ,청년창농형,교육,9,경상북도,경주시,서악동,,47130115
경상북도 경주시 서악동 ,청년창농형,교통,4,경상북도,경주시,서악동,,47130115
경상북도 경주시 서악동 ,청년창농형,농업_매물,10,경상북도,경주시,서악동,,47130115
경상북도 경주시 서악동 ,청년창농형,농업_지원,10,경상북도,경주시,서악동,,47130115
경상북도 경주시 서악동 ,청년창농형,서비스,10,경상북도,경주시,서악동,,47130115
경상북도 경주시 서악동 ,청년창농형,편의,10,경상북도,경주시,서악동,,47130115
경상북도 경주시 성건동 ,영농상속형,교육,10,경상북도,경주시,성건동,,47130108
경상북도 경주시 성건동 ,영농상속형,교통,7,경상북도,경주시,성건동,,47130108
