address,우체국_total_score,경찰서_total_score,농업기술센터_total_score,농산물직거래판매장_total_score,농지매물_total_score,편의점_total_score,학원_total_score,은행_total_score,기차역_total_score,차량정비소_total_score,행정복지센터_total_score,시장_total_score,농기계대여소_total_score,초중학교_total_score,버스정류장_total_score,병원_total_score,고속버스터미널_total_score
경상북도 청도군 매전면 두곡리,0.11099039668198675,0.47077058296501634,0.9521008502322075,2.3144637896120552,0.0022553639826095604,3.379305478465209e-05,2.0690927048448324e-06,0.7036535087347031,0.024380389999350886,1.374363101738622,0.7679131009563804,0.07379524480823893,0.4057950568872737,3.63052501047003e-05,0.8219698660107264,0.912897242344916,0.07719560036426301
경상북도 청도군 매전면 덕산리,0.22632631319528448,0.7534656168000772,0.9000655824567948,2.0916422390937806,0.0026520182372711133,2.9325816980210613e-05,8.127472950011914e-06,0.7364510653268547,0.015160008451442991,1.3967199057798274,0.9768140401430427,0.13123933075651295,0.5851388248998556,0.00018948838481938984,1.8241053673620757,1.270635414582491,0.06381175947577522
경상북도 청도군 매전면 금천리,0.1454003698340617,0.5323790772926063,0.9303820030279691,2.109491443139315,0.0020036545091104926,8.578696074243866e-06,1.9662638515015152e-07,0.568367031159252,0.042605607218149814,0.9916551144620941,0.8365413740918041,0.039950855761673294,0.3567564894290991,1.4164795614694455e-06,0.9198043105678249,0.6627945409812033,0.04436361498443621
경상북도 청도군 매전면 관하리,0.148352802008763,0.6914935231521727,0.8895353938135726,1.9984162440478803,0.0007803671651803596,5.1094970056680074e-06,8.891282291830825e-08,0.45818103820458056,0.02713203733159462,1.0825117833731492,0.8927267333060505,0.06823657761639335,0.4459089338632126,3.600080273820594e-05,2.257988322407953,0.7741181264296174,0.04510650565889355
경상북도 청도군 매전면 상평리,0.2938020584192127,0.882058224065602,0.8191514307322185,1.7368618959099054,0.0008128598817971578,0.00016754122868846533,3.651551033230494e-09,0.2946063528690487,0.030840406314692516,1.3856723035404428,1.2317451665058732,0.1381449505530327,0.511282801483432,0.000149573968129453,0.3894229099290143,0.6764115429222584,0.03131485772907545
경상북도 청도군 매전면 하평리,0.6640541832000016,1.1626585734613237,0.7720718977686017,1.684975918638706,0.01319685152788061,0.0004271838059593051,2.0862266570100135e-07,0.39759603728596116,0.013658974878048322,1.566262994057256,1.4300198604382577,0.2069102347380802,0.6788357426652365,0.03612912788298406,2.519789752978687,1.145660964074731,0.03546298854101897
경상북도 청도군 매전면 구촌리,0.3170222243275494,0.29707019337373786,0.603183660108986,1.1932049102526159,0.10837010203568355,8.089014669311491e-06,4.160019086890974e-06,0.5561982707481977,0.0009997488525630616,1.782946188580068,0.4909166197581217,0.06112479951174355,0.35586299460863896,0.00039710756580544075,2.1371381336074777,0.7723350248709322,0.05314066838987858
경상북도 청도군 매전면 송원리,0.6107128912761808,0.5898878446587361,0.794869292550272,1.7115567449070515,0.27376245226424506,0.005469615736620914,0.0028097960829489253,1.3162822657608892,0.002309367629599,2.4435572213172003,1.0467957408569755,0.44768282628815215,0.7419418026990114,0.003099668646009535,0.504959643409689,1.8312041585594419,0.09329532500253881
경상북도 청도군 매전면 지전리,0.2594041610908229,0.4315840183246415,0.6467645149284014,1.315480019775033,0.1404185654040684,2.7207219577852156e-05,1.390465853720009e-05,0.6677200161871267,0.0014634609184988221,1.7099573361974378,0.6657660306666048,0.09473244404214275,0.46487938810874724,5.76054633585618e-05,1.9468856163838701,0.9902356509819628,0.0538000032189372
경상북도 청도군 매전면 내리,0.12210067265103572,0.41697847187632,0.5042533246707056,0.9968108999166638,0.19033859711344783,1.2557122301341284e-07,6.368992826152125e-08,0.2723432067326881,0.0013129582422430758,0.9082674193768252,0.5400958616845309,0.021370619528768568,0.29197283543777613,1.132977178960533e-05,1.4916346952541888,0.5755466427177192,0.026667297072317343
