id,score1,score2,score3,score4,scaled_score1,scaled_score2,scaled_score3,scaled_score4,total_score
전남,125.45596803561158,380.18845600771783,175.47033386409421,0.7272727272727273,0.9999999999999999,0.848632249614915,0.8953974393779167,1.0,0.9360074222482079
경북,97.1051877782959,444.6004551582496,195.2008405482105,0.6818181818181818,0.7740180821906526,0.9999999999999999,0.9999999999999999,0.9374999999999999,0.9278795205476631
전북,79.59617477268117,388.1479834044232,168.99057525959535,0.7142857142857143,0.6344550683319203,0.8673370836839845,0.861044578952431,0.9821428571428572,0.8362448970277983
경남,48.27495427073464,383.01151473622514,156.0010580131457,0.6111111111111112,0.3847959967678177,0.8552664180086095,0.7921798109575383,0.8402777777777779,0.7181300008779359
충북,59.80729598699961,301.83848455845884,125.1488107404093,0.5454545454545454,0.4767194173658034,0.6645103611870498,0.6286146214091151,0.75,0.6299610999904921
제주,52.67844448934084,378.8612806144038,143.36917562724014,0.35546389393163585,0.41989588310687365,0.8455133966635745,0.7252110673668618,0.4887628541559993,0.6198458003233273
충남,82.14148566504632,155.2068027286898,65.04818904717749,0.6,0.654743548284047,0.3199269278754564,0.30998727824249667,0.825,0.5274144386005
부산,1.4100321334062054,412.2162143982928,165.31094120564492,0.1875,0.011239259124013594,0.9238972592620863,0.8415367604073914,0.2578125,0.5086214446983728
울산,9.217195453823676,436.33092176781497,159.33884418194197,0.0,0.07346956544313067,0.980566653999993,0.8098753007721072,0.0,0.4659778800538077
세종,15.82969292948893,251.304832584648,101.13828963250803,0.35546389393163585,0.12617728098033212,0.5457566302223836,0.5013212867792981,0.4887628541559993,0.4155045130345033
강원,62.82473484460622,28.243876862706216,12.419611094412165,0.6666666666666666,0.5007711934977295,0.021564934394563376,0.030973459495006066,0.9166666666666666,0.3674940635134914
대전,0.0,299.8953306493028,106.26409475145662,0.0,0.0,0.6599439630041034,0.5284960750032337,0.0,0.2971100095018343
인천,3.4347759172007635,171.44112583043233,61.59477966903292,0.2,0.02737833816104928,0.35807747434727927,0.29167880448591316,0.275,0.23803365424856043
대구,9.438841807550904,51.9986533067669,18.36976387657889,0.3333333333333333,0.07523629170731536,0.07738849395890562,0.06251858031079871,0.4583333333333333,0.16836917482758826
서울,0.0,129.30190790220107,43.096669804735555,0.0,0.0,0.2590506050542379,0.1936098755195921,0.0,0.1131651201434575
경기,11.01567839825466,19.067281898652634,6.577287101939993,0.06451612903225806,0.08780513650118088,0.0,0.0,0.08870967741935484,0.04412870348013393
광주,0.0,40.52703153003053,16.01165933451274,0.0,0.0,0.05043026250338031,0.05001693616836738,0.0,0.025111799667936925
